date,sales
22-10-18,19.2
23-10-18,21.8
24-10-18,20.6
25-10-18,22.4
26-10-18,24.2
27-10-18,16.6
28-10-18,19.6
29-10-18,18.2
30-10-18,20.4
31-10-18,21.2
01-11-18,24.6
02-11-18,25.8
03-11-18,18.2
04-11-18,19
05-11-18,19.6
06-11-18,29.8
07-11-18,25.4
08-11-18,22
09-11-18,25.8
10-11-18,18.4
11-11-18,20.6
12-11-18,21
13-11-18,19.2
14-11-18,22.8
15-11-18,25.4
16-11-18,26.6
17-11-18,18
18-11-18,21.8
19-11-18,23.6
20-11-18,25.8
21-11-18,27
22-11-18,24.2
23-11-18,25.4
24-11-18,19.8
25-11-18,22.4
26-11-18,23.6
27-11-18,24.2
28-11-18,24.4
29-11-18,26.4
30-11-18,24
01-12-18,12.2
02-12-18,16.8
03-12-18,14
04-12-18,16.4
05-12-18,19.4
06-12-18,18.2
07-12-18,17.2
08-12-18,15
09-12-18,14.4
10-12-18,12.8
11-12-18,15.4
12-12-18,15.4
13-12-18,16.6
14-12-18,18.4
15-12-18,14.4
16-12-18,14.4
17-12-18,18.4
18-12-18,15
19-12-18,15.2
20-12-18,19
21-12-18,20.6
22-12-18,12.2
23-12-18,19
24-12-18,17.4
25-12-18,18
26-12-18,14.6
27-12-18,20
28-12-18,17.6
29-12-18,13.6
30-12-18,13.4
31-12-18,13.8
01-01-19,15
02-01-19,16.8
03-01-19,17.6
04-01-19,18.8
05-01-19,12
06-01-19,12.4
07-01-19,13.6
08-01-19,15.6
09-01-19,17.4
10-01-19,18.8
11-01-19,19.2
12-01-19,10.2
13-01-19,14
14-01-19,12.6
15-01-19,10.6
16-01-19,15.8
17-01-19,19.6
18-01-19,19.2
19-01-19,12.2
20-01-19,10.6
21-01-19,15.2
22-01-19,11.6
23-01-19,18.8
24-01-19,18.8
25-01-19,20.4
26-01-19,12.6
27-01-19,15
28-01-19,15.8
29-01-19,12.4
30-01-19,15.8
31-01-19,19.8
01-02-19,22
02-02-19,11.6
03-02-19,16.2
04-02-19,15.2
05-02-19,18.4
06-02-19,16
07-02-19,18.8
08-02-19,17.8
09-02-19,13
10-02-19,12.6
11-02-19,16
12-02-19,18.8
13-02-19,16.2
14-02-19,19
15-02-19,20.2
16-02-19,14.4
17-02-19,16
18-02-19,13.8
19-02-19,15.2
20-02-19,18.8
21-02-19,20.6
22-02-19,24.6
23-02-19,13.2
24-02-19,12.2
25-02-19,16
26-02-19,16.6
27-02-19,18.8
28-02-19,19.2
01-03-19,25.2
02-03-19,17.8
03-03-19,15.8
04-03-19,22.4
05-03-19,18.6
06-03-19,22.8
07-03-19,24.2
08-03-19,24.6
09-03-19,15.2
10-03-19,19.4
11-03-19,20.6
12-03-19,23.8
13-03-19,25.2
14-03-19,19.8
15-03-19,20.8
16-03-19,16
17-03-19,16.2
18-03-19,20
19-03-19,18.4
20-03-19,24.2
21-03-19,24.2
22-03-19,27.4
23-03-19,14.8
24-03-19,21.2
25-03-19,16.2
26-03-19,18
27-03-19,21.8
28-03-19,22.8
29-03-19,24.2
30-03-19,15.4
31-03-19,18.6
01-04-19,20.4
02-04-19,24.4
03-04-19,27.6
04-04-19,28.8
05-04-19,25.8
06-04-19,21
07-04-19,22.4
08-04-19,21.8
09-04-19,24.4
10-04-19,25.2
11-04-19,26.8
12-04-19,30
13-04-19,17.6
14-04-19,24.6
15-04-19,20
16-04-19,21.8
17-04-19,26.8
18-04-19,26.6
19-04-19,23.2
20-04-19,17.2
21-04-19,21.6
22-04-19,23.4
23-04-19,21.8
24-04-19,24.2
25-04-19,27.6
26-04-19,31
27-04-19,18
28-04-19,20
29-04-19,21.2
30-04-19,27.2
01-05-19,25.4
02-05-19,33.4
03-05-19,29.6
04-05-19,17.4
05-05-19,23.6
06-05-19,24.8
07-05-19,25.8
08-05-19,25.2
09-05-19,29.2
10-05-19,33
11-05-19,22.6
12-05-19,24
13-05-19,19.8
14-05-19,25.6
15-05-19,27
16-05-19,28.4
17-05-19,30.2
18-05-19,20.2
19-05-19,24.2
20-05-19,21.2
21-05-19,25.8
22-05-19,27.8
23-05-19,32.2
24-05-19,28.8
25-05-19,20
26-05-19,24.6
27-05-19,21.6
28-05-19,23.6
29-05-19,26.4
30-05-19,30.8
31-05-19,29.4
01-06-19,23.8
02-06-19,24
03-06-19,27.6
04-06-19,30.2
05-06-19,29.2
06-06-19,34.8
07-06-19,33.2
08-06-19,20
09-06-19,27.8
10-06-19,24.4
11-06-19,27.6
12-06-19,25.4
13-06-19,29.6
14-06-19,35.8
15-06-19,19.4
16-06-19,24.6
17-06-19,26.4
18-06-19,27.6
19-06-19,28.8
20-06-19,33.8
21-06-19,34.8
22-06-19,22.6
23-06-19,26.6
24-06-19,24.6
25-06-19,28.2
26-06-19,29.6
27-06-19,30.2
28-06-19,33.8
29-06-19,24.8
30-06-19,24.4
01-07-19,25.8
02-07-19,30.4
03-07-19,32.4
04-07-19,33.6
05-07-19,32.4
06-07-19,24
07-07-19,30.8
08-07-19,25
09-07-19,30.8
10-07-19,30.4
11-07-19,29.4
12-07-19,35
13-07-19,23.6
14-07-19,26.4
15-07-19,25.2
16-07-19,32.6
17-07-19,30.6
18-07-19,35.8
19-07-19,37.2
20-07-19,20.4
21-07-19,28
22-07-19,22.8
23-07-19,26.6
24-07-19,27
25-07-19,33.8
26-07-19,34.4
27-07-19,21.6
28-07-19,28.8
29-07-19,25.8
30-07-19,34
31-07-19,32.8
01-08-19,27
02-08-19,24.4
03-08-19,20.8
04-08-19,24.6
05-08-19,24.8
06-08-19,28.4
07-08-19,24
08-08-19,29.4
09-08-19,36.6
10-08-19,21.4
11-08-19,25.6
12-08-19,20.6
13-08-19,26.6
14-08-19,26
15-08-19,27.8
16-08-19,33.8
17-08-19,24
18-08-19,25
19-08-19,27
20-08-19,26.2
21-08-19,30.6
22-08-19,30.6
23-08-19,27.4
24-08-19,18.6
25-08-19,23
26-08-19,21.6
27-08-19,24
28-08-19,28.4
29-08-19,28.4
30-08-19,33.6
31-08-19,18.2
01-09-19,25.4
02-09-19,23.8
03-09-19,22.8
04-09-19,25
05-09-19,31.4
06-09-19,28.6
07-09-19,19.2
08-09-19,23
09-09-19,20.6
10-09-19,24.4
11-09-19,24.2
12-09-19,28.8
13-09-19,30.4
14-09-19,19.8
15-09-19,22.8
16-09-19,23.6
17-09-19,25.6
18-09-19,26
19-09-19,28.6
20-09-19,27.6
21-09-19,20.6
22-09-19,22.2
23-09-19,22.4
24-09-19,23
25-09-19,22.6
26-09-19,24.4
27-09-19,29.2
28-09-19,20
29-09-19,23.8
30-09-19,18.4
01-10-19,25.6
02-10-19,21.8
03-10-19,22.4
04-10-19,26
05-10-19,15
06-10-19,20.4
07-10-19,19.6
08-10-19,23.8
09-10-19,21.6
10-10-19,27.8
11-10-19,27.8
12-10-19,16
13-10-19,23.2
14-10-19,20
15-10-19,21
16-10-19,22.4
17-10-19,25
18-10-19,30.8
19-10-19,14
20-10-19,20.6
21-10-19,20.8
22-10-19,25.6
23-10-19,26.8
24-10-19,23.2
25-10-19,29.4
26-10-19,19.8
27-10-19,20.6
28-10-19,20.8
29-10-19,23.4
30-10-19,22.6
31-10-19,30.2
01-11-19,26.6
02-11-19,17.8
03-11-19,20.6
04-11-19,25
05-11-19,22.6
06-11-19,27
07-11-19,25.2
08-11-19,30.6
09-11-19,17.6
10-11-19,18.8
11-11-19,25
12-11-19,24.4
13-11-19,25.8
14-11-19,26.4
15-11-19,30
16-11-19,20.8
17-11-19,25.4
18-11-19,25
19-11-19,24.8
20-11-19,30
21-11-19,25.4
22-11-19,32.4
23-11-19,21
24-11-19,21.8
25-11-19,19.6
26-11-19,19.4
27-11-19,27.2
28-11-19,29.6
29-11-19,31.8
30-11-19,14.4
01-12-19,14.4
02-12-19,18.4
03-12-19,15.2
04-12-19,18.8
05-12-19,15.8
06-12-19,18
07-12-19,16.2
08-12-19,16
09-12-19,14.4
10-12-19,17.2
11-12-19,19
12-12-19,17.4
13-12-19,19.4
14-12-19,11.8
15-12-19,15
16-12-19,17.2
17-12-19,13.8
18-12-19,22.6
19-12-19,18
20-12-19,15.4
21-12-19,13.8
22-12-19,14.6
23-12-19,17
24-12-19,15.4
25-12-19,20.2
26-12-19,16
27-12-19,20.6
28-12-19,12.8
29-12-19,15.8
30-12-19,16.2
31-12-19,21.8
