date,store,item,sales
29/04/17,1,1,11
30/04/17,1,1,15
01/05/17,1,1,16
02/05/17,1,1,23
03/05/17,1,1,22
04/05/17,1,1,20
05/05/17,1,1,14
06/05/17,1,1,14
07/05/17,1,1,15
08/05/17,1,1,14
09/05/17,1,1,11
10/05/17,1,1,16
11/05/17,1,1,19
12/05/17,1,1,13
13/05/17,1,1,9
14/05/17,1,1,13
15/05/17,1,1,16
16/05/17,1,1,15
17/05/17,1,1,16
18/05/17,1,1,20
19/05/17,1,1,19
20/05/17,1,1,14
21/05/17,1,1,24
22/05/17,1,1,23
23/05/17,1,1,14
24/05/17,1,1,24
25/05/17,1,1,25
26/05/17,1,1,27
27/05/17,1,1,7
28/05/17,1,1,12
29/05/17,1,1,10
30/05/17,1,1,19
31/05/17,1,1,27
01/06/17,1,1,26
02/06/17,1,1,22
03/06/17,1,1,12
04/06/17,1,1,15
05/06/17,1,1,24
06/06/17,1,1,9
07/06/17,1,1,21
08/06/17,1,1,20
09/06/17,1,1,38
10/06/17,1,1,20
11/06/17,1,1,18
12/06/17,1,1,22
13/06/17,1,1,21
14/06/17,1,1,22
15/06/17,1,1,26
16/06/17,1,1,23
17/06/17,1,1,13
18/06/17,1,1,21
19/06/17,1,1,18
20/06/17,1,1,24
21/06/17,1,1,19
22/06/17,1,1,23
23/06/17,1,1,24
24/06/17,1,1,17
25/06/17,1,1,21
26/06/17,1,1,21
27/06/17,1,1,26
28/06/17,1,1,17
29/06/17,1,1,20
30/06/17,1,1,24
01/07/17,1,1,23
02/07/17,1,1,17
03/07/17,1,1,12
04/07/17,1,1,24
05/07/17,1,1,17
06/07/17,1,1,16
07/07/17,1,1,34
08/07/17,1,1,20
09/07/17,1,1,23
10/07/17,1,1,14
11/07/17,1,1,25
12/07/17,1,1,29
13/07/17,1,1,22
14/07/17,1,1,29
15/07/17,1,1,18
16/07/17,1,1,12
17/07/17,1,1,16
18/07/17,1,1,21
19/07/17,1,1,25
20/07/17,1,1,25
21/07/17,1,1,26
22/07/17,1,1,18
23/07/17,1,1,17
24/07/17,1,1,21
25/07/17,1,1,21
26/07/17,1,1,31
27/07/17,1,1,19
28/07/17,1,1,25
29/07/17,1,1,8
30/07/17,1,1,26
31/07/17,1,1,27
01/08/17,1,1,21
02/08/17,1,1,19
03/08/17,1,1,24
04/08/17,1,1,26
05/08/17,1,1,17
06/08/17,1,1,10
07/08/17,1,1,25
08/08/17,1,1,20
09/08/17,1,1,19
10/08/17,1,1,22
11/08/17,1,1,25
12/08/17,1,1,10
13/08/17,1,1,11
14/08/17,1,1,19
15/08/17,1,1,22
16/08/17,1,1,15
17/08/17,1,1,29
18/08/17,1,1,27
19/08/17,1,1,11
20/08/17,1,1,15
21/08/17,1,1,20
22/08/17,1,1,20
23/08/17,1,1,19
24/08/17,1,1,19
25/08/17,1,1,23
26/08/17,1,1,11
27/08/17,1,1,16
28/08/17,1,1,20
29/08/17,1,1,14
30/08/17,1,1,20
31/08/17,1,1,25
01/09/17,1,1,25
02/09/17,1,1,10
03/09/17,1,1,16
04/09/17,1,1,10
05/09/17,1,1,16
06/09/17,1,1,20
07/09/17,1,1,20
08/09/17,1,1,19
09/09/17,1,1,15
10/09/17,1,1,17
11/09/17,1,1,26
12/09/17,1,1,14
13/09/17,1,1,16
14/09/17,1,1,27
15/09/17,1,1,14
16/09/17,1,1,16
17/09/17,1,1,20
18/09/17,1,1,18
19/09/17,1,1,16
20/09/17,1,1,11
21/09/17,1,1,13
22/09/17,1,1,16
23/09/17,1,1,18
24/09/17,1,1,14
25/09/17,1,1,17
26/09/17,1,1,20
27/09/17,1,1,22
28/09/17,1,1,13
29/09/17,1,1,20
30/09/17,1,1,20
01/10/17,1,1,12
02/10/17,1,1,11
03/10/17,1,1,14
04/10/17,1,1,14
05/10/17,1,1,14
06/10/17,1,1,20
07/10/17,1,1,13
08/10/17,1,1,13
09/10/17,1,1,14
10/10/17,1,1,20
11/10/17,1,1,17
12/10/17,1,1,17
13/10/17,1,1,20
14/10/17,1,1,15
15/10/17,1,1,15
16/10/17,1,1,15
17/10/17,1,1,10
18/10/17,1,1,10
19/10/17,1,1,18
20/10/17,1,1,25
21/10/17,1,1,13
22/10/17,1,1,11
23/10/17,1,1,16
24/10/17,1,1,17
25/10/17,1,1,18
26/10/17,1,1,19
27/10/17,1,1,14
28/10/17,1,1,11
29/10/17,1,1,17
30/10/17,1,1,20
31/10/17,1,1,21
01/11/17,1,1,20
02/11/17,1,1,24
03/11/17,1,1,19
04/11/17,1,1,12
05/11/17,1,1,20
06/11/17,1,1,16
07/11/17,1,1,17
08/11/17,1,1,22
09/11/17,1,1,18
10/11/17,1,1,23
11/11/17,1,1,16
12/11/17,1,1,20
13/11/17,1,1,20
14/11/17,1,1,9
15/11/17,1,1,18
16/11/17,1,1,13
17/11/17,1,1,17
18/11/17,1,1,17
19/11/17,1,1,18
20/11/17,1,1,17
21/11/17,1,1,16
22/11/17,1,1,17
23/11/17,1,1,31
24/11/17,1,1,20
25/11/17,1,1,16
26/11/17,1,1,25
27/11/17,1,1,25
28/11/17,1,1,17
29/11/17,1,1,19
30/11/17,1,1,30
01/12/17,1,1,16
02/12/17,1,1,8
03/12/17,1,1,21
04/12/17,1,1,6
05/12/17,1,1,13
06/12/17,1,1,15
07/12/17,1,1,17
08/12/17,1,1,17
09/12/17,1,1,8
10/12/17,1,1,14
11/12/17,1,1,7
12/12/17,1,1,5
13/12/17,1,1,13
14/12/17,1,1,16
15/12/17,1,1,15
16/12/17,1,1,15
17/12/17,1,1,8
18/12/17,1,1,18
19/12/17,1,1,7
20/12/17,1,1,13
21/12/17,1,1,11
22/12/17,1,1,9
23/12/17,1,1,8
24/12/17,1,1,17
25/12/17,1,1,6
26/12/17,1,1,16
27/12/17,1,1,18
28/12/17,1,1,17
29/12/17,1,1,14
30/12/17,1,1,5
31/12/17,1,1,15
01/01/18,1,1,9
02/01/18,1,1,14
03/01/18,1,1,11
04/01/18,1,1,20
05/01/18,1,1,17
06/01/18,1,1,14
07/01/18,1,1,11
08/01/18,1,1,12
09/01/18,1,1,17
10/01/18,1,1,12
11/01/18,1,1,17
12/01/18,1,1,12
13/01/18,1,1,12
14/01/18,1,1,17
15/01/18,1,1,17
16/01/18,1,1,15
17/01/18,1,1,18
18/01/18,1,1,15
19/01/18,1,1,12
20/01/18,1,1,6
21/01/18,1,1,7
22/01/18,1,1,21
23/01/18,1,1,18
24/01/18,1,1,18
25/01/18,1,1,21
26/01/18,1,1,16
27/01/18,1,1,8
28/01/18,1,1,6
29/01/18,1,1,13
30/01/18,1,1,11
31/01/18,1,1,18
01/02/18,1,1,13
02/02/18,1,1,16
03/02/18,1,1,10
04/02/18,1,1,9
05/02/18,1,1,21
06/02/18,1,1,17
07/02/18,1,1,15
08/02/18,1,1,15
09/02/18,1,1,18
10/02/18,1,1,10
11/02/18,1,1,10
12/02/18,1,1,9
13/02/18,1,1,22
14/02/18,1,1,20
15/02/18,1,1,20
16/02/18,1,1,13
17/02/18,1,1,11
18/02/18,1,1,11
19/02/18,1,1,16
20/02/18,1,1,19
21/02/18,1,1,16
22/02/18,1,1,17
23/02/18,1,1,13
24/02/18,1,1,7
25/02/18,1,1,14
26/02/18,1,1,17
27/02/18,1,1,10
28/02/18,1,1,16
01/03/18,1,1,20
02/03/18,1,1,15
03/03/18,1,1,12
04/03/18,1,1,11
05/03/18,1,1,18
06/03/18,1,1,19
07/03/18,1,1,21
08/03/18,1,1,14
09/03/18,1,1,21
10/03/18,1,1,13
11/03/18,1,1,14
12/03/18,1,1,24
13/03/18,1,1,17
14/03/18,1,1,16
15/03/18,1,1,22
16/03/18,1,1,31
17/03/18,1,1,19
18/03/18,1,1,17
19/03/18,1,1,24
20/03/18,1,1,21
21/03/18,1,1,18
22/03/18,1,1,20
23/03/18,1,1,25
24/03/18,1,1,4
25/03/18,1,1,15
26/03/18,1,1,17
27/03/18,1,1,17
28/03/18,1,1,16
29/03/18,1,1,18
30/03/18,1,1,15
31/03/18,1,1,15
01/04/18,1,1,19
02/04/18,1,1,11
03/04/18,1,1,16
04/04/18,1,1,17
05/04/18,1,1,21
06/04/18,1,1,26
07/04/18,1,1,19
08/04/18,1,1,19
09/04/18,1,1,20
10/04/18,1,1,18
11/04/18,1,1,23
12/04/18,1,1,19
13/04/18,1,1,22
14/04/18,1,1,20
15/04/18,1,1,22
16/04/18,1,1,20
17/04/18,1,1,18
18/04/18,1,1,20
19/04/18,1,1,22
20/04/18,1,1,22
21/04/18,1,1,17
22/04/18,1,1,12
23/04/18,1,1,16
24/04/18,1,1,25
25/04/18,1,1,22
26/04/18,1,1,21
27/04/18,1,1,20
28/04/18,1,1,15
29/04/18,1,1,18
30/04/18,1,1,13
01/05/18,1,1,22
02/05/18,1,1,19
03/05/18,1,1,22
04/05/18,1,1,23
05/05/18,1,1,21
06/05/18,1,1,19
07/05/18,1,1,21
08/05/18,1,1,15
09/05/18,1,1,18
10/05/18,1,1,16
11/05/18,1,1,27
12/05/18,1,1,16
13/05/18,1,1,22
14/05/18,1,1,21
15/05/18,1,1,22
16/05/18,1,1,23
17/05/18,1,1,18
18/05/18,1,1,36
19/05/18,1,1,12
20/05/18,1,1,23
21/05/18,1,1,16
22/05/18,1,1,25
23/05/18,1,1,28
24/05/18,1,1,25
25/05/18,1,1,20
26/05/18,1,1,15
27/05/18,1,1,13
28/05/18,1,1,13
29/05/18,1,1,20
30/05/18,1,1,29
31/05/18,1,1,31
01/06/18,1,1,24
02/06/18,1,1,16
03/06/18,1,1,23
04/06/18,1,1,20
05/06/18,1,1,24
06/06/18,1,1,23
07/06/18,1,1,27
08/06/18,1,1,29
09/06/18,1,1,18
10/06/18,1,1,14
11/06/18,1,1,22
12/06/18,1,1,22
13/06/18,1,1,25
14/06/18,1,1,29
15/06/18,1,1,33
16/06/18,1,1,25
17/06/18,1,1,32
18/06/18,1,1,20
19/06/18,1,1,22
20/06/18,1,1,19
21/06/18,1,1,26
22/06/18,1,1,37
23/06/18,1,1,19
24/06/18,1,1,24
25/06/18,1,1,21
26/06/18,1,1,18
27/06/18,1,1,29
28/06/18,1,1,34
29/06/18,1,1,19
30/06/18,1,1,16
01/07/18,1,1,16
02/07/18,1,1,24
03/07/18,1,1,25
04/07/18,1,1,28
05/07/18,1,1,25
06/07/18,1,1,34
07/07/18,1,1,16
08/07/18,1,1,25
09/07/18,1,1,27
10/07/18,1,1,23
11/07/18,1,1,25
12/07/18,1,1,22
13/07/18,1,1,24
14/07/18,1,1,21
15/07/18,1,1,24
16/07/18,1,1,17
17/07/18,1,1,26
18/07/18,1,1,25
19/07/18,1,1,31
20/07/18,1,1,26
21/07/18,1,1,21
22/07/18,1,1,30
23/07/18,1,1,19
24/07/18,1,1,26
25/07/18,1,1,24
26/07/18,1,1,29
27/07/18,1,1,35
28/07/18,1,1,11
29/07/18,1,1,19
30/07/18,1,1,25
31/07/18,1,1,23
01/08/18,1,1,12
02/08/18,1,1,23
03/08/18,1,1,27
04/08/18,1,1,20
05/08/18,1,1,19
06/08/18,1,1,25
07/08/18,1,1,21
08/08/18,1,1,27
09/08/18,1,1,27
10/08/18,1,1,22
11/08/18,1,1,22
12/08/18,1,1,20
13/08/18,1,1,11
14/08/18,1,1,17
15/08/18,1,1,21
16/08/18,1,1,20
17/08/18,1,1,31
18/08/18,1,1,25
19/08/18,1,1,15
20/08/18,1,1,21
21/08/18,1,1,20
22/08/18,1,1,21
23/08/18,1,1,26
24/08/18,1,1,26
25/08/18,1,1,12
26/08/18,1,1,25
27/08/18,1,1,21
28/08/18,1,1,19
29/08/18,1,1,17
30/08/18,1,1,30
31/08/18,1,1,28
01/09/18,1,1,16
02/09/18,1,1,15
03/09/18,1,1,22
04/09/18,1,1,26
05/09/18,1,1,27
06/09/18,1,1,21
07/09/18,1,1,25
08/09/18,1,1,12
09/09/18,1,1,22
10/09/18,1,1,16
11/09/18,1,1,15
12/09/18,1,1,25
13/09/18,1,1,17
14/09/18,1,1,26
15/09/18,1,1,12
16/09/18,1,1,15
17/09/18,1,1,17
18/09/18,1,1,18
19/09/18,1,1,21
20/09/18,1,1,21
21/09/18,1,1,20
22/09/18,1,1,15
23/09/18,1,1,20
24/09/18,1,1,14
25/09/18,1,1,17
26/09/18,1,1,23
27/09/18,1,1,13
28/09/18,1,1,22
29/09/18,1,1,18
30/09/18,1,1,15
01/10/18,1,1,12
02/10/18,1,1,15
03/10/18,1,1,24
04/10/18,1,1,27
05/10/18,1,1,33
06/10/18,1,1,9
07/10/18,1,1,10
08/10/18,1,1,25
09/10/18,1,1,18
10/10/18,1,1,19
11/10/18,1,1,28
12/10/18,1,1,29
13/10/18,1,1,6
14/10/18,1,1,20
15/10/18,1,1,21
16/10/18,1,1,17
17/10/18,1,1,18
18/10/18,1,1,22
19/10/18,1,1,13
20/10/18,1,1,8
21/10/18,1,1,19
22/10/18,1,1,14
23/10/18,1,1,18
24/10/18,1,1,17
25/10/18,1,1,21
26/10/18,1,1,22
27/10/18,1,1,15
28/10/18,1,1,12
29/10/18,1,1,11
30/10/18,1,1,12
31/10/18,1,1,20
01/11/18,1,1,17
02/11/18,1,1,33
03/11/18,1,1,16
04/11/18,1,1,16
05/11/18,1,1,15
06/11/18,1,1,22
07/11/18,1,1,22
08/11/18,1,1,12
09/11/18,1,1,28
10/11/18,1,1,16
11/11/18,1,1,12
12/11/18,1,1,18
13/11/18,1,1,18
14/11/18,1,1,25
15/11/18,1,1,24
16/11/18,1,1,18
17/11/18,1,1,17
18/11/18,1,1,18
19/11/18,1,1,19
20/11/18,1,1,17
21/11/18,1,1,28
22/11/18,1,1,20
23/11/18,1,1,29
24/11/18,1,1,18
25/11/18,1,1,19
26/11/18,1,1,23
27/11/18,1,1,23
28/11/18,1,1,24
29/11/18,1,1,28
30/11/18,1,1,24
01/12/18,1,1,10
02/12/18,1,1,17
03/12/18,1,1,9
04/12/18,1,1,10
05/12/18,1,1,14
06/12/18,1,1,16
07/12/18,1,1,11
08/12/18,1,1,13
09/12/18,1,1,13
10/12/18,1,1,14
11/12/18,1,1,12
12/12/18,1,1,10
13/12/18,1,1,16
14/12/18,1,1,13
15/12/18,1,1,14
16/12/18,1,1,11
17/12/18,1,1,15
18/12/18,1,1,10
19/12/18,1,1,11
20/12/18,1,1,19
21/12/18,1,1,18
22/12/18,1,1,8
23/12/18,1,1,13
24/12/18,1,1,16
25/12/18,1,1,20
26/12/18,1,1,12
27/12/18,1,1,15
28/12/18,1,1,17
29/12/18,1,1,9
30/12/18,1,1,11
31/12/18,1,1,12
01/01/19,1,1,11
02/01/19,1,1,19
03/01/19,1,1,16
04/01/19,1,1,14
05/01/19,1,1,14
06/01/19,1,1,9
07/01/19,1,1,13
08/01/19,1,1,18
09/01/19,1,1,18
10/01/19,1,1,17
11/01/19,1,1,19
12/01/19,1,1,9
13/01/19,1,1,9
14/01/19,1,1,15
15/01/19,1,1,10
16/01/19,1,1,15
17/01/19,1,1,16
18/01/19,1,1,15
19/01/19,1,1,12
20/01/19,1,1,12
21/01/19,1,1,10
22/01/19,1,1,8
23/01/19,1,1,14
24/01/19,1,1,20
25/01/19,1,1,19
26/01/19,1,1,12
27/01/19,1,1,13
28/01/19,1,1,13
29/01/19,1,1,7
30/01/19,1,1,12
31/01/19,1,1,19
01/02/19,1,1,17
02/02/19,1,1,6
03/02/19,1,1,10
04/02/19,1,1,8
05/02/19,1,1,18
06/02/19,1,1,13
07/02/19,1,1,13
08/02/19,1,1,18
09/02/19,1,1,12
10/02/19,1,1,15
11/02/19,1,1,19
12/02/19,1,1,15
13/02/19,1,1,13
14/02/19,1,1,11
15/02/19,1,1,18
16/02/19,1,1,14
17/02/19,1,1,16
18/02/19,1,1,16
19/02/19,1,1,11
20/02/19,1,1,10
21/02/19,1,1,19
22/02/19,1,1,24
23/02/19,1,1,9
24/02/19,1,1,8
25/02/19,1,1,13
26/02/19,1,1,18
27/02/19,1,1,17
28/02/19,1,1,18
01/03/19,1,1,18
02/03/19,1,1,17
03/03/19,1,1,14
04/03/19,1,1,19
05/03/19,1,1,10
06/03/19,1,1,17
07/03/19,1,1,16
08/03/19,1,1,13
09/03/19,1,1,13
10/03/19,1,1,23
11/03/19,1,1,21
12/03/19,1,1,24
13/03/19,1,1,25
14/03/19,1,1,15
15/03/19,1,1,20
16/03/19,1,1,13
17/03/19,1,1,15
18/03/19,1,1,16
19/03/19,1,1,17
20/03/19,1,1,31
21/03/19,1,1,25
22/03/19,1,1,23
23/03/19,1,1,16
24/03/19,1,1,18
25/03/19,1,1,13
26/03/19,1,1,10
27/03/19,1,1,16
28/03/19,1,1,12
29/03/19,1,1,25
30/03/19,1,1,19
31/03/19,1,1,18
01/04/19,1,1,24
02/04/19,1,1,20
03/04/19,1,1,27
04/04/19,1,1,26
05/04/19,1,1,20
06/04/19,1,1,20
07/04/19,1,1,19
08/04/19,1,1,17
09/04/19,1,1,20
10/04/19,1,1,24
11/04/19,1,1,17
12/04/19,1,1,21
13/04/19,1,1,14
14/04/19,1,1,26
15/04/19,1,1,26
16/04/19,1,1,20
17/04/19,1,1,22
18/04/19,1,1,23
19/04/19,1,1,24
20/04/19,1,1,17
21/04/19,1,1,25
22/04/19,1,1,19
23/04/19,1,1,17
24/04/19,1,1,11
25/04/19,1,1,29
26/04/19,1,1,30
27/04/19,1,1,22
28/04/19,1,1,27
29/04/19,1,1,18
30/04/19,1,1,27
01/05/19,1,1,20
02/05/19,1,1,22
03/05/19,1,1,33
04/05/19,1,1,14
05/05/19,1,1,25
06/05/19,1,1,13
07/05/19,1,1,23
08/05/19,1,1,22
09/05/19,1,1,29
10/05/19,1,1,29
11/05/19,1,1,24
12/05/19,1,1,21
13/05/19,1,1,14
14/05/19,1,1,17
15/05/19,1,1,27
16/05/19,1,1,31
17/05/19,1,1,27
18/05/19,1,1,11
19/05/19,1,1,28
20/05/19,1,1,17
21/05/19,1,1,27
22/05/19,1,1,22
23/05/19,1,1,24
24/05/19,1,1,27
25/05/19,1,1,19
26/05/19,1,1,19
27/05/19,1,1,22
28/05/19,1,1,23
29/05/19,1,1,18
30/05/19,1,1,36
31/05/19,1,1,27
01/06/19,1,1,23
02/06/19,1,1,15
03/06/19,1,1,23
04/06/19,1,1,25
05/06/19,1,1,18
06/06/19,1,1,43
07/06/19,1,1,22
08/06/19,1,1,18
09/06/19,1,1,19
10/06/19,1,1,22
11/06/19,1,1,29
12/06/19,1,1,23
13/06/19,1,1,28
14/06/19,1,1,30
15/06/19,1,1,19
16/06/19,1,1,17
17/06/19,1,1,28
18/06/19,1,1,29
19/06/19,1,1,20
20/06/19,1,1,30
21/06/19,1,1,34
22/06/19,1,1,14
23/06/19,1,1,27
24/06/19,1,1,26
25/06/19,1,1,21
26/06/19,1,1,30
27/06/19,1,1,31
28/06/19,1,1,35
29/06/19,1,1,26
30/06/19,1,1,23
01/07/19,1,1,21
02/07/19,1,1,26
03/07/19,1,1,30
04/07/19,1,1,40
05/07/19,1,1,30
06/07/19,1,1,20
07/07/19,1,1,24
08/07/19,1,1,21
09/07/19,1,1,33
10/07/19,1,1,26
11/07/19,1,1,30
12/07/19,1,1,19
13/07/19,1,1,22
14/07/19,1,1,19
15/07/19,1,1,20
16/07/19,1,1,41
17/07/19,1,1,31
18/07/19,1,1,38
19/07/19,1,1,38
20/07/19,1,1,22
21/07/19,1,1,29
22/07/19,1,1,27
23/07/19,1,1,17
24/07/19,1,1,29
25/07/19,1,1,34
26/07/19,1,1,38
27/07/19,1,1,13
28/07/19,1,1,27
29/07/19,1,1,26
30/07/19,1,1,22
31/07/19,1,1,29
01/08/19,1,1,28
02/08/19,1,1,19
03/08/19,1,1,20
04/08/19,1,1,26
05/08/19,1,1,20
06/08/19,1,1,25
07/08/19,1,1,22
08/08/19,1,1,19
09/08/19,1,1,33
10/08/19,1,1,14
11/08/19,1,1,16
12/08/19,1,1,24
13/08/19,1,1,25
14/08/19,1,1,23
15/08/19,1,1,26
16/08/19,1,1,27
17/08/19,1,1,14
18/08/19,1,1,18
19/08/19,1,1,24
20/08/19,1,1,17
21/08/19,1,1,29
22/08/19,1,1,22
23/08/19,1,1,19
24/08/19,1,1,19
25/08/19,1,1,22
26/08/19,1,1,26
27/08/19,1,1,23
28/08/19,1,1,25
29/08/19,1,1,36
30/08/19,1,1,25
31/08/19,1,1,20
01/09/19,1,1,27
02/09/19,1,1,22
03/09/19,1,1,16
04/09/19,1,1,16
05/09/19,1,1,34
06/09/19,1,1,25
07/09/19,1,1,17
08/09/19,1,1,25
09/09/19,1,1,13
10/09/19,1,1,25
11/09/19,1,1,28
12/09/19,1,1,24
13/09/19,1,1,28
14/09/19,1,1,22
15/09/19,1,1,21
16/09/19,1,1,23
17/09/19,1,1,19
18/09/19,1,1,16
19/09/19,1,1,40
20/09/19,1,1,28
21/09/19,1,1,18
22/09/19,1,1,20
23/09/19,1,1,22
24/09/19,1,1,28
25/09/19,1,1,20
26/09/19,1,1,20
27/09/19,1,1,32
28/09/19,1,1,15
29/09/19,1,1,19
30/09/19,1,1,15
01/01/17,1,2,33
02/01/17,1,2,43
03/01/17,1,2,23
04/01/17,1,2,18
05/01/17,1,2,34
06/01/17,1,2,38
07/01/17,1,2,27
08/01/17,1,2,28
09/01/17,1,2,34
10/01/17,1,2,27
11/01/17,1,2,28
12/01/17,1,2,39
13/01/17,1,2,28
14/01/17,1,2,30
15/01/17,1,2,27
16/01/17,1,2,19
17/01/17,1,2,29
18/01/17,1,2,29
19/01/17,1,2,44
20/01/17,1,2,34
21/01/17,1,2,15
22/01/17,1,2,29
23/01/17,1,2,21
24/01/17,1,2,33
25/01/17,1,2,29
26/01/17,1,2,33
27/01/17,1,2,32
28/01/17,1,2,16
29/01/17,1,2,35
30/01/17,1,2,29
31/01/17,1,2,27
01/02/17,1,2,30
02/02/17,1,2,26
03/02/17,1,2,39
04/02/17,1,2,30
05/02/17,1,2,34
06/02/17,1,2,22
07/02/17,1,2,42
08/02/17,1,2,27
09/02/17,1,2,28
10/02/17,1,2,34
11/02/17,1,2,25
12/02/17,1,2,39
13/02/17,1,2,17
14/02/17,1,2,35
15/02/17,1,2,34
16/02/17,1,2,39
17/02/17,1,2,46
18/02/17,1,2,31
19/02/17,1,2,30
20/02/17,1,2,24
21/02/17,1,2,31
22/02/17,1,2,40
23/02/17,1,2,37
24/02/17,1,2,33
25/02/17,1,2,13
26/02/17,1,2,33
27/02/17,1,2,19
28/02/17,1,2,35
01/03/17,1,2,42
02/03/17,1,2,49
03/03/17,1,2,49
04/03/17,1,2,33
05/03/17,1,2,42
06/03/17,1,2,43
07/03/17,1,2,48
08/03/17,1,2,43
09/03/17,1,2,43
10/03/17,1,2,43
11/03/17,1,2,34
12/03/17,1,2,30
13/03/17,1,2,36
14/03/17,1,2,44
15/03/17,1,2,52
16/03/17,1,2,58
17/03/17,1,2,46
18/03/17,1,2,37
19/03/17,1,2,48
20/03/17,1,2,43
21/03/17,1,2,43
22/03/17,1,2,30
23/03/17,1,2,51
24/03/17,1,2,40
25/03/17,1,2,34
26/03/17,1,2,27
27/03/17,1,2,33
28/03/17,1,2,38
29/03/17,1,2,45
30/03/17,1,2,51
31/03/17,1,2,44
01/04/17,1,2,40
02/04/17,1,2,44
03/04/17,1,2,40
04/04/17,1,2,53
05/04/17,1,2,45
06/04/17,1,2,46
07/04/17,1,2,57
08/04/17,1,2,44
09/04/17,1,2,31
10/04/17,1,2,49
11/04/17,1,2,41
12/04/17,1,2,53
13/04/17,1,2,50
14/04/17,1,2,53
15/04/17,1,2,28
16/04/17,1,2,45
17/04/17,1,2,45
18/04/17,1,2,45
19/04/17,1,2,58
20/04/17,1,2,26
21/04/17,1,2,48
22/04/17,1,2,27
23/04/17,1,2,38
24/04/17,1,2,40
25/04/17,1,2,51
26/04/17,1,2,48
27/04/17,1,2,42
28/04/17,1,2,53
29/04/17,1,2,36
30/04/17,1,2,40
01/05/17,1,2,51
02/05/17,1,2,54
03/05/17,1,2,49
04/05/17,1,2,49
05/05/17,1,2,60
06/05/17,1,2,38
07/05/17,1,2,43
08/05/17,1,2,45
09/05/17,1,2,46
10/05/17,1,2,58
11/05/17,1,2,63
12/05/17,1,2,53
13/05/17,1,2,49
14/05/17,1,2,35
15/05/17,1,2,43
16/05/17,1,2,49
17/05/17,1,2,45
18/05/17,1,2,53
19/05/17,1,2,53
20/05/17,1,2,38
21/05/17,1,2,53
22/05/17,1,2,38
23/05/17,1,2,69
24/05/17,1,2,48
25/05/17,1,2,45
26/05/17,1,2,64
27/05/17,1,2,38
28/05/17,1,2,48
29/05/17,1,2,44
30/05/17,1,2,48
31/05/17,1,2,58
01/06/17,1,2,55
02/06/17,1,2,51
03/06/17,1,2,43
04/06/17,1,2,41
05/06/17,1,2,67
06/06/17,1,2,43
07/06/17,1,2,69
08/06/17,1,2,52
09/06/17,1,2,65
10/06/17,1,2,48
11/06/17,1,2,49
